SF	Freq	Lemma	Segmentation	Analysis
pihennek	1	pihen	pihen-nek	V-IND.PRS.INDF.3.PL
izgalmas	3	izgalmas	izgalmas	ADJ.NOM.SG
építette	1	épít	épít-ette	V-IND.PST.DEF.3.SG
meggyógyította	1	meggyógyít	meggyógyít-otta	V-IND.PST.DEF.3.SG
réteg	1	réteg	réteg	N.NOM.SG
olvassuk	4	olvas	olvas-juk	V-IND.PRS.DEF.1.PL
bújik	6	bújik	bújik	V.IND.PRS.INDF.3.SG
pici	295	pici	pici	N.NOM.SG
elrontottál	2	elront	elront-ottál	V-IND.PST.INDF.2.SG
tibi	1	tibi	tibi	N.NOM.SG
kiveszlek	1	kivesz	kivesz-lek	V-IND.PRS.LGSPEC1.1.SG
olvasni	10	olvas	olvas-ni	V-NFIN
zászlónak	1	zászló	zászló-nak	N.SG-DAT.SG
forma	3	forma	forma	N.NOM.SG
mozdonyra	2	mozdony	mozdony-ra	N.SG-ON+ALL
lábai	1	láb	láb-ai	N.NOM-PSS3S.PL
lassabb	2	lassú	lassú-abb	ADJ.NOM.SG-CMPR
kér	84	kér	kér	V.IND.PRS.INDF.3.SG
sokkal	18	sokk	sokk-val	N.SG-INST
világít	1	világít	világít	V.IND.PRS.INDF.3.SG
rókával	2	róka	róka-val	N.SG-INST
térre	3	tér	tér-re	N.SG-ON+ALL
álljunk	1	áll	áll-junk	V-SBJV.PRS.INDF.1.PL
hajamra	2	haj	haj-am-ra	N.SG-PSS1S-ON+ALL
erről	4	err	err-ről	N.SG-ON+ABL
egyben	1	egy	egy-ben	N.SG-IN+ESS
harapja	4	harap	harap-ja	V-IND.PRS.DEF.3.SG
házak	3	ház	ház-ak	N.NOM-PL
faj	3	faj	faj	N.NOM.SG
hozd	102	hoz	hoz-d	V-SBJV.PRS.DEF.2.SG
félsz	44	félsz	félsz	N.NOM.SG
félni	11	fél	fél-ni	V-NFIN
hóembert	6	hóember	hóember-t	N.SG-ACC
alakú	2	alakú	alakú	ADJ.NOM.SG
szájából	1	száj	száj-a-ból	N.SG-PSS3S-IN+ABL
olvasom	2	olvas	olvas-om	V-IND.PRS.DEF.1.SG
része	3	rész	rész-e	N.NOM-PSS3S.SG
megpróbálta	1	megpróbál	megpróbál-ta	V-IND.PST.DEF.3.SG
tudjuk	24	tud	tud-juk	V-IND.PRS.DEF.1.PL
rakták	1	rak	rak-ták	V-IND.PST.DEF.3.PL
mér	31	mér	mér	V.IND.PRS.INDF.3.SG
készítünk	6	készít	készít-ünk	V-IND.PRS.INDF.1.PL
teknős	8	teknős	teknős	N.NOM.SG
láttuk	7	lát	lát-tuk	V-IND.PST.DEF.1.PL
számot	1	száj	száj-m-ot	N.SG-PSS1S-ACC
kértek	7	kér	kér-tek	V-IND.PRS.INDF.2.PL
vacsorát	3	vacsora	vacsora-t	N.SG-ACC
rontod	8	ront	ront-od	V-IND.PRS.DEF.2.SG
mulassanak	1	mulat	mulat-janak	V-SBJV.PRS.INDF.3.PL
gyógyszert	1	gyógyszer	gyógyszer-t	N.SG-ACC
becsukjam	1	becsuk	becsuk-jam	V-SBJV.PRS.DEF.1.SG
keksz	3	keksz	keksz	N.NOM.SG
focizni	2	focizik	fociz-ni	V-NFIN
tepsit	4	tepsi	tepsi-t	N.SG-ACC
zsírral	1	zsír	zsír-val	N.SG-INST
rázzátok	1	ráz	ráz-játok	V-IND.PRS.DEF.2.PL
segítesz	27	segít	segít-sz	V-IND.PRS.INDF.2.SG.asz
pénztárnak	1	pénztár	pénztár-nak	N.SG-DAT.SG
kiskakastól	1	kiskakas	kiskakas-tól	N.SG-AT+ABL
orvosságot	3	orvosság	orvosság-ot	N.SG-ACC
mókás	1	mókás	mókás	ADJ.NOM.SG
pólóba	1	póló	póló-ba	N.SG-IN+ALL
almával	2	alom	alom-a-val	N.SG-PSS3S-INST
maradnátok	1	marad	marad-nátok	V-COND.PRS.INDF.2.PL
rázzunk	1	ráz	ráz-junk	V-SBJV.PRS.INDF.1.PL
látni	19	lát	lát-ni	V-NFIN
bekapcsoljuk	10	bekapcsol	bekapcsol-juk	V-IND.PRS.DEF.1.PL
földdel	1	föld	föld-vel	N.SG-INST
beteghez	1	beteg	beteg-hez	N.SG-AT+ALL
kaparót	1	kaparó	kaparó-t	N.SG-ACC
felveszlek	1	felvesz	felvesz-lek	V-IND.PRS.LGSPEC1.1.SG
leveszlek	1	levesz	levesz-lek	V-IND.PRS.LGSPEC1.1.SG
rókát	46	róka	róka-t	N.SG-ACC
lapát	21	lapát	lapát	N.NOM.SG
egye	8	egy	egy-e	N.NOM-PSS3S.SG
megnyitni	1	megnyit	megnyit-ni	V-NFIN
kifolyik	2	kifolyik	kifolyik	V.IND.PRS.INDF.3.SG
aludj	7	alszik	alud-j	V-SBJV.PRS.INDF.2.SG
örülj	2	örül	örül-j	V-SBJV.PRS.INDF.2.SG
imádom	1	imád	imád-om	V-IND.PRS.DEF.1.SG
mosta	1	mos	mos-ta	V-IND.PST.DEF.3.SG
sötét	20	sötét	sötét	N.NOM.SG
bohóccal	3	bohóc	bohóc-val	N.SG-INST
szösz	1	szösz	szösz	N.NOM.SG
választok	1	választ	választ-ok	V-IND.PRS.INDF.1.SG
vízben	7	víz	víz-ben	N.SG-IN+ESS
helye	30	hely	hely-e	N.NOM-PSS3S.SG
ütni	1	üt	üt-ni	V-NFIN
szalad	7	szalad	szalad	V.IND.PRS.INDF.3.SG
kenyér	11	kenyér	kenyér	N.NOM.SG
vécén	4	vécé	vécé-n	N.SG-ON+ESS
dobáltál	1	dobál	dobál-tál	V-IND.PST.INDF.2.SG
helybe	1	hely	hely-be	N.SG-IN+ALL
ablakon	25	ablak	ablak-on	N.SG-ON+ESS
viktor	32	viktor	viktor	N.NOM.SG
fejet	6	fej	fej-et	N.SG-ACC
világon	1	világ	világ-on	N.SG-ON+ESS
házikóba	13	házikó	házikó-ba	N.SG-IN+ALL
tudta	7	tud	tud-ta	V-IND.PST.DEF.3.SG
repül	25	repül	repül	V.IND.PRS.INDF.3.SG
polc	3	polc	polc	N.NOM.SG
töltsd	1	tölt	tölt-d	V-SBJV.PRS.DEF.2.SG
bántja	1	bánt	bánt-ja	V-IND.PRS.DEF.3.SG
dobtam	7	dob	dob-tam	V-IND.PST.INDF.1.SG
ugat	10	ugat	ugat	V.IND.PRS.INDF.3.SG
maci	300	maci	maci	N.NOM.SG
véleményetek	1	vélemény	vélemény-etek	N.NOM-PSS2P.SG
megmossa	3	megmos	megmos-ja	V-IND.PRS.DEF.3.SG
este	28	este	este	N.NOM.SG
harapok	5	harap	harap-ok	V-IND.PRS.INDF.1.SG
robot	2	robot	robot	N.NOM.SG
sorban	7	sor	sor-ban	N.SG-IN+ESS
postára	2	posta	posta-ra	N.SG-ON+ALL
gödör	4	gödör	gödör	N.NOM.SG
megcsinálod	3	megcsinál	megcsinál-od	V-IND.PRS.DEF.2.SG
magyarázni	1	magyaráz	magyaráz-ni	V-NFIN
gázra	1	gáz	gáz-ra	N.SG-ON+ALL
kergetni	1	kerget	kerget-ni	V-NFIN
pörgetjük	1	pörget	pörget-jük	V-IND.PRS.DEF.1.PL
bekapcsoltad	4	bekapcsol	bekapcsol-tad	V-IND.PST.DEF.2.SG
nyitott	3	nyit	nyit-ott	V-IND.PST.INDF.3.SG
hívjak	1	hív	hív-jak	V-SBJV.PRS.INDF.1.SG
oszlop	2	oszlop	oszlop	N.NOM.SG
kukoricát	8	kukorica	kukorica-t	N.SG-ACC
vicc	1	vicc	vicc	N.NOM.SG
kenőcse	1	kenőcs	kenőcs-e	N.NOM-PSS3S.SG
zuhanyozik	4	zuhanyozik	zuhanyozik	V.IND.PRS.INDF.3.SG
lovak	1	ló	ló-ak	N.NOM-PL
fújta	1	fúj	fúj-ta	V-IND.PST.DEF.3.SG
doboznak	2	doboz	doboz-nak	N.SG-DAT.SG
mén	4	mén	mén	N.NOM.SG
táskád	5	táska	táska-d	N.NOM-PSS2S.SG
labdát	36	labda	labda-t	N.SG-ACC
mondasz	9	mond	mond-asz	V-IND.PRS.INDF.2.SG.asz
egére	1	ég	ég-e-re	N.SG-PSS3S-ON+ALL
bögre	4	bögre	bögre	N.NOM.SG
nyomtad	1	nyom	nyom-tad	V-IND.PST.DEF.2.SG
dönti	1	dönt	dönt-i	V-IND.PRS.DEF.3.SG.i
kemencével	1	kemence	kemence-vel	N.SG-INST
meghívom	2	meghív	meghív-om	V-IND.PRS.DEF.1.SG
leessen	1	leesik	lees-jen	V-SBJV.PRS.INDF.3.SG
kólát	3	kóla	kóla-t	N.SG-ACC
morzsát	3	morzsa	morzsa-t	N.SG-ACC
ugrál	19	ugrál	ugrál	V.IND.PRS.INDF.3.SG
fényképet	3	fénykép	fénykép-et	N.SG-ACC
pisilünk	8	pisil	pisil-ünk	V-IND.PRS.INDF.1.PL
veszitek	2	vesz	vesz-itek	V-IND.PRS.DEF.2.PL
sírna	2	sír	sír-na	V-COND.PRS.INDF.3.SG
edények	1	edény	edény-ek	N.NOM-PL
megígéred	2	megígér	megígér-ed	V-IND.PRS.DEF.2.SG
hí	16	hí	hí	V.IND.PRS.INDF.3.SG
lovat	9	ló	ló-at	N.SG-ACC
hala	26	hal	hal-a	N.NOM-PSS3S.SG
csókolj	1	csókol	csókol-j	V-SBJV.PRS.INDF.2.SG
lökni	2	lök	lök-ni	V-NFIN
tál	2	tál	tál	N.NOM.SG
esve	1	esik	es-ve	V-V.CVB
dobált	2	dobál	dobál-t	V-IND.PST.INDF.3.SG
sétálunk	11	sétál	sétál-unk	V-IND.PRS.INDF.1.PL
gazdájuk	11	gazda	gazda-juk	N.NOM-PSS3P.SG
olvasson	1	olvas	olvas-jon	V-SBJV.PRS.INDF.3.SG
repülsz	2	repül	repül-sz	V-IND.PRS.INDF.2.SG.asz
zsírkréta	2	zsírkréta	zsírkréta	N.NOM.SG
telefonálnak	2	telefonál	telefonál-nak	V-IND.PRS.INDF.3.PL
feladjuk	1	felad	felad-juk	V-IND.PRS.DEF.1.PL
harap	25	harap	harap	V.IND.PRS.INDF.3.SG
lehet	395	lesz	lesz-het	V-POT
gyertyája	1	gyertya	gyertya-ja	N.NOM-PSS3S.SG
bánt	15	bán	bán-t	N.SG-ACC
pohárból	11	pohár	pohár-ból	N.SG-IN+ABL
gumit	1	gumi	gumi-t	N.SG-ACC
kockád	1	kocka	kocka-d	N.NOM-PSS2S.SG
ülsz	15	ül	ül-sz	V-IND.PRS.INDF.2.SG.asz
hasa	49	hasa	hasa	N.NOM.SG
lökve	1	lök	lök-ve	V-V.CVB
pelikán	2	pelikán	pelikán	N.NOM.SG
várunk	3	várunk	várunk	N.NOM.SG
hagyma	1	hagyma	hagyma	N.NOM.SG
paplan	5	paplan	paplan	N.NOM.SG
elfelejtjük	1	elfelejt	elfelejt-jük	V-IND.PRS.DEF.1.PL
emeljen	1	emel	emel-jen	V-SBJV.PRS.INDF.3.SG
szedje	2	szed	szed-je	V-SBJV.PRS.DEF.3.SG
tudtalak	1	tud	tud-talak	V-IND.PST.LGSPEC1.1.SG
tetszett	4	tetszik	tetsz-ett	V-IND.PST.INDF.3.SG
kaka	53	kaka	kaka	N.NOM.SG
legszebb	15	legszebb	legszebb	ADJ.NOM.SG
ültessük	6	ültet	ültet-jük	V-SBJV.PRS.DEF.1.PL
vidéket	1	vidék	vidék-et	N.SG-ACC
huszonhat	1	huszonhat	huszonhat	N.NOM.SG
olvassunk	7	olvas	olvas-junk	V-SBJV.PRS.INDF.1.PL
estem	5	est	est-em	N.NOM-PSS1S.SG
pénzt	36	pénz	pénz-t	N.SG-ACC
pelenkától	1	pelenka	pelenka-tól	N.SG-AT+ABL
megkeresitek	2	megkeres	megkeres-itek	V-IND.PRS.DEF.2.PL
kértem	5	kér	kér-tem	V-IND.PST.INDF.1.SG
vödröt	5	vödör	vödör-öt	N.SG-ACC
gratulálok	3	gratulál	gratulál-ok	V-IND.PRS.INDF.1.SG
etessétek	1	etet	etet-jétek	V-SBJV.PRS.DEF.2.PL
ládát	1	láda	láda-t	N.SG-ACC
kocsin	3	kocsi	kocsi-n	N.SG-ON+ESS
kékem	1	kék	kék-em	N.NOM-PSS1S.SG
pír	1	pír	pír	N.NOM.SG
közbe	6	köz	köz-be	N.SG-IN+ALL
pesten	4	pest	pest-en	N.SG-ON+ESS
megtölti	1	megtölt	megtölt-i	V-IND.PRS.DEF.3.SG.i
elrepült	15	elrepül	elrepül-t	V-IND.PST.INDF.3.SG
üveg	11	üveg	üveg	N.NOM.SG
fürdettük	1	fürdet	fürdet-tük	V-IND.PST.DEF.1.PL
ananász	7	ananász	ananász	N.NOM.SG
kiveszi	8	kivesz	kivesz-i	V-IND.PRS.DEF.3.SG.i
részt	2	rész	rész-t	N.SG-ACC
kész	113	kész	kész	ADJ.NOM.SG
mozdonyban	1	mozdony	mozdony-ban	N.SG-IN+ESS
megígéri	1	megígér	megígér-i	V-IND.PRS.DEF.3.SG.i
tudtam	11	tud	tud-tam	V-IND.PST.INDF.1.SG
asztallal	2	asztal	asztal-val	N.SG-INST
segítsen	7	segít	segít-jen	V-SBJV.PRS.INDF.3.SG
felálltál	2	feláll	feláll-tál	V-IND.PST.INDF.2.SG
függönyt	5	függöny	függöny-t	N.SG-ACC
láttad	31	lát	lát-tad	V-IND.PST.DEF.2.SG
szivacs	1	szivacs	szivacs	N.NOM.SG
kígyó	13	kígyó	kígyó	N.NOM.SG
haragudni	5	haragszik	haragud-ni	V-NFIN
kockát	52	kocka	kocka-t	N.SG-ACC
margit	1	margit	margit	N.NOM.SG
budához	2	buda	buda-hoz	N.SG-AT+ALL
tévébe	2	tévé	tévé-be	N.SG-IN+ALL
virág	46	virág	virág	N.NOM.SG
nagyon	19	nagy	nagy-on	N.SG-ON+ESS
megver	3	megver	megver	V.IND.PRS.INDF.3.SG
felvett	1	felvesz	felvesz-tt	V-IND.PST.INDF.3.SG
törpe	74	törpe	törpe	N.NOM.SG
hölgynek	1	hölgy	hölgy-nek	N.SG-DAT.SG
mama	186	mama	mama	N.NOM.SG
eldobott	1	eldob	eldob-ott	V-IND.PST.INDF.3.SG
füzet	3	füzet	füzet	N.NOM.SG
szeretnék	40	szeret	szeret-nék	V-COND.PRS.INDF.1.SG
építünk	8	épít	épít-ünk	V-IND.PRS.INDF.1.PL
élő	1	élő	élő	N.NOM.SG
fölüljön	1	fölül	fölül-jön	V-SBJV.PRS.INDF.3.SG
vonatot	37	vonat	vonat-ot	N.SG-ACC
kiesett	13	kiesik	kies-ett	V-IND.PST.INDF.3.SG
földről	1	föld	föld-ről	N.SG-ON+ABL
hajlandó	1	hajlandó	hajlandó	ADJ.NOM.SG
csíkos	5	csíkos	csíkos	ADJ.NOM.SG
szárnyat	2	szárny	szárny-at	N.SG-ACC
kötényed	9	kötény	kötény-ed	N.NOM-PSS2S.SG
fölszállt	2	fölszáll	fölszáll-t	V-IND.PST.INDF.3.SG
rontottuk	1	ront	ront-ottuk	V-IND.PST.DEF.1.PL
pelenkában	1	pelenka	pelenka-ban	N.SG-IN+ESS
kapcsoló	5	kapcsoló	kapcsoló	N.NOM.SG
mozgott	1	mozog	mozg-ott	V-IND.PST.INDF.3.SG
vitorlást	1	vitorlás	vitorlás-t	N.SG-ACC
lila	3	lila	lila	ADJ.NOM.SG
telefon	42	telefon	telefon	N.NOM.SG
hat	29	hat	hat	N.NOM.SG
torta	9	torta	torta	N.NOM.SG
mossak	2	mos	mos-jak	V-SBJV.PRS.INDF.1.SG
lekvárt	5	lekvár	lekvár-t	N.SG-ACC
mondjam	1	mond	mond-jam	V-SBJV.PRS.DEF.1.SG
kirakták	1	kirak	kirak-ták	V-IND.PST.DEF.3.PL
lemossák	1	lemos	lemos-ják	V-IND.PRS.DEF.3.PL
répát	26	répa	répa-t	N.SG-ACC
rágja	1	rág	rág-ja	V-IND.PRS.DEF.3.SG
erős	5	erős	erős	ADJ.NOM.SG
fejed	16	fej	fej-ed	N.NOM-PSS2S.SG
halottam	1	halott	halott-am	N.NOM-PSS1S.SG
cumit	20	cumi	cumi-t	N.SG-ACC
csukták	2	csuk	csuk-ták	V-IND.PST.DEF.3.PL
leüljetek	1	leül	leül-jetek	V-SBJV.PRS.INDF.2.PL
igazából	1	igaz	igaz-a-ból	N.SG-PSS3S-IN+ABL
lennél	3	len	len-nél	N.SG-AT+ESS
vitt	10	visz	visz-tt	V-IND.PST.INDF.3.SG
motorja	2	motor	motor-ja	N.NOM-PSS3S.SG
daru	31	daru	daru	N.NOM.SG
gyertyák	1	gyertya	gyertya-k	N.NOM-PL
behúzzuk	1	behúz	behúz-juk	V-IND.PRS.DEF.1.PL
pillangók	1	pillangó	pillangó-k	N.NOM-PL
hagyják	4	hagy	hagy-ják	V-IND.PRS.DEF.3.PL
körmöd	2	kör	kör-öm-öd	N.SG-NOM.PSS1S-PSS2S
popója	5	popó	popó-ja	N.NOM-PSS3S.SG
eléred	1	elér	elér-ed	V-IND.PRS.DEF.2.SG
utazz	1	utazik	utaz-j	V-SBJV.PRS.INDF.2.SG
retyerutya	2	retyerutya	retyerutya	N.NOM.SG
kört	6	kör	kör-t	N.SG-ACC
benzin	3	benzin	benzin	N.NOM.SG
menjenek	3	megy	megy-jenek	V-SBJV.PRS.INDF.3.PL
labdával	10	labda	labda-val	N.SG-INST
betegségem	1	betegség	betegség-em	N.NOM-PSS1S.SG
fúj	17	fú	fú-j	V-SBJV.PRS.INDF.2.SG
számolni	4	számol	számol-ni	V-NFIN
kapaszkodni	3	kapaszkodik	kapaszkod-ni	V-NFIN
megállítottad	1	megállít	megállít-ottad	V-IND.PST.DEF.2.SG
zsebben	2	zseb	zseb-ben	N.SG-IN+ESS
megkeresem	6	megkeres	megkeres-em	V-IND.PRS.DEF.1.SG
csigabiga	12	csigabiga	csigabiga	N.NOM.SG
mákom	5	mák	mák-om	N.NOM-PSS1S.SG
utolsó	2	utolsó	utolsó	ADJ.NOM.SG
nagyobb	32	nagyobb	nagyobb	ADJ.NOM.SG
emel	2	emel	emel	V.IND.PRS.INDF.3.SG
óvodások	1	óvodás	óvodás-ok	N.NOM-PL
fogom	52	fog	fog-om	V-IND.PRS.DEF.1.SG
zászlót	2	zászló	zászló-t	N.SG-ACC
gyógyult	5	gyógyul	gyógyul-t	V-IND.PST.INDF.3.SG
zuhany	6	zuhany	zuhany	N.NOM.SG
bokrot	6	bokor	bokor-ot	N.SG-ACC
kecskének	3	kecske	kecske-nek	N.SG-DAT.SG
traktoron	4	traktor	traktor-on	N.SG-ON+ESS
húzd	32	húz	húz-d	V-SBJV.PRS.DEF.2.SG
lyukból	2	lyuk	lyuk-ból	N.SG-IN+ABL
fogai	3	fog	fog-ai	N.NOM-PSS3S.PL
felmászunk	1	felmászik	felmász-unk	V-IND.PRS.INDF.1.PL
sírás	1	sír	sír-ás	V-V.MSDR
apád	2	apa	apa-d	N.NOM-PSS2S.SG
delfinhez	1	delfin	delfin-hez	N.SG-AT+ALL
szemével	3	szem	szem-e-vel	N.SG-PSS3S-INST
korona	4	korona	korona	N.NOM.SG
fickó	2	fickó	fickó	N.NOM.SG
hozom	153	hoz	hoz-om	V-IND.PRS.DEF.1.SG
mogyoró	2	mogyoró	mogyoró	N.NOM.SG
megkeresed	4	megkeres	megkeres-ed	V-IND.PRS.DEF.2.SG
csapod	1	csap	csap-od	N.NOM-PSS2S.SG
hívta	6	hív	hív-ta	V-IND.PST.DEF.3.SG
menj	96	megy	megy-j	V-SBJV.PRS.INDF.2.SG
bújok	1	bújik	búj-ok	V-IND.PRS.INDF.1.SG
bekapcsolom	9	bekapcsol	bekapcsol-om	V-IND.PRS.DEF.1.SG
számolsz	2	számol	számol-sz	V-IND.PRS.INDF.2.SG.asz
hallottam	3	hall	hall-ottam	V-IND.PST.INDF.1.SG
házi	6	házi	házi	N.NOM.SG
szádra	1	száj	száj-d-ra	N.SG-PSS2S-ON+ALL
ragadj	2	ragad	ragad-j	V-SBJV.PRS.INDF.2.SG
magnót	42	magnó	magnó-t	N.SG-ACC
hóba	2	hó	hó-ba	N.SG-IN+ALL
fektetjük	1	fektet	fektet-jük	V-IND.PRS.DEF.1.PL
békák	2	béka	béka-k	N.NOM-PL
végül	4	vég	vég-ül	N.SG-BYWAY
egérrel	2	egér	egér-vel	N.SG-INST
tornyot	52	torony	torony-ot	N.SG-ACC
megmarad	3	megmarad	megmarad	V.IND.PRS.INDF.3.SG
gurítsuk	1	gurít	gurít-juk	V-SBJV.PRS.DEF.1.PL
mosott	3	mos	mos-ott	V-IND.PST.INDF.3.SG
megcsinálsz	1	megcsinál	megcsinál-sz	V-IND.PRS.INDF.2.SG.asz
teszitek	1	tesz	tesz-itek	V-IND.PRS.DEF.2.PL
hölgyet	1	hölgy	hölgy-et	N.SG-ACC
katonának	6	katona	katona-nak	N.SG-DAT.SG
hülye	25	hülye	hülye	N.NOM.SG
ebédet	30	ebéd	ebéd-et	N.SG-ACC
szebb	9	szebb	szebb	ADJ.NOM.SG
látnál	1	lát	lát-nál	V-COND.PRS.INDF.2.SG
tudós	1	tudós	tudós	N.NOM.SG
focizzunk	4	focizik	fociz-junk	V-SBJV.PRS.INDF.1.PL
kérdezd	15	kérdez	kérdez-d	V-SBJV.PRS.DEF.2.SG
levest	16	leves	leves-t	N.SG-ACC
baja	28	baj	baj-a	N.NOM-PSS3S.SG
mesének	1	mese	mese-nek	N.SG-DAT.SG
apu	143	apu	apu	N.NOM.SG
tepsi	16	tepsi	tepsi	N.NOM.SG
szedve	4	szed	szed-ve	V-V.CVB
ananászhoz	1	ananász	ananász-hoz	N.SG-AT+ALL
dobozba	23	doboz	doboz-ba	N.SG-IN+ALL
kád	9	ká	ká-d	N.NOM-PSS2S.SG
vigyázok	4	vigyáz	vigyáz-ok	V-IND.PRS.INDF.1.SG
leülünk	2	leül	leül-ünk	V-IND.PRS.INDF.1.PL
szájból	1	száj	száj-ból	N.SG-IN+ABL
mondjak	2	mond	mond-jak	V-SBJV.PRS.INDF.1.SG
nagyszerű	2	nagyszerű	nagyszerű	ADJ.NOM.SG
száll	5	száll	száll	V.IND.PRS.INDF.3.SG
számológéped	1	számológép	számológép-ed	N.NOM-PSS2S.SG
banán	24	banán	banán	N.NOM.SG
kupacban	1	kupac	kupac-ban	N.SG-IN+ESS
eldobtuk	1	eldob	eldob-tuk	V-IND.PST.DEF.1.PL
jeges	4	jeges	jeges	N.NOM.SG
tettünk	1	tettünk	tettünk	N.NOM.SG
tépni	2	tép	tép-ni	V-NFIN
kiabálunk	1	kiabál	kiabál-unk	V-IND.PRS.INDF.1.PL
dobtál	7	dob	dob-tál	V-IND.PST.INDF.2.SG
kádban	8	kád	kád-ban	N.SG-IN+ESS
tányérom	7	tányér	tányér-om	N.NOM-PSS1S.SG
földalattit	2	földalatti	földalatti-t	ADJ.SG-ACC
tapsoljunk	4	tapsol	tapsol-junk	V-SBJV.PRS.INDF.1.PL
igyekezz	1	igyekezik	igyekez-j	V-SBJV.PRS.INDF.2.SG
énekelsz	4	énekel	énekel-sz	V-IND.PRS.INDF.2.SG.asz
jöjjenek	2	jön	jön-jenek	V-SBJV.PRS.INDF.3.PL
keresgélsz	1	keresgél	keresgél-sz	V-IND.PRS.INDF.2.SG.asz
szegedi	3	szegedi	szegedi	N.NOM.SG
part	11	part	part	N.NOM.SG
bábuk	3	bábu	bábu-k	N.NOM-PL
sóz	1	sóz	sóz	V.IND.PRS.INDF.3.SG
csinálnál	2	csinál	csinál-nál	V-COND.PRS.INDF.2.SG
belvárosba	1	belváros	belváros-ba	N.SG-IN+ALL
csókoljuk	1	csókol	csókol-juk	V-IND.PRS.DEF.1.PL
félünk	6	fél	fél-ünk	V-IND.PRS.INDF.1.PL
meglátogatni	3	meglátogat	meglátogat-ni	V-NFIN
lássuk	6	lát	lát-juk	V-SBJV.PRS.DEF.1.PL
kalapálok	9	kalapál	kalapál-ok	V-IND.PRS.INDF.1.SG
vonaton	11	vonat	vonat-on	N.SG-ON+ESS
megmondod	1	megmond	megmond-od	V-IND.PRS.DEF.2.SG
messziről	1	messzi	messzi-ről	N.SG-ON+ABL
orvoshoz	1	orvos	orvos-hoz	N.SG-AT+ALL
kapitányba	1	kapitány	kapitány-ba	N.SG-IN+ALL
bohócot	11	bohóc	bohóc-ot	N.SG-ACC
elférne	1	elfér	elfér-ne	V-COND.PRS.INDF.3.SG
szedtük	2	szed	szed-tük	V-IND.PST.DEF.1.PL
férünk	1	fér	fér-ünk	V-IND.PRS.INDF.1.PL
kerekét	1	kerék	kerék-e-t	N.SG-PSS3S-ACC
vágjam	1	vág	vág-jam	V-SBJV.PRS.DEF.1.SG
magyalok	1	magyal	magyal-ok	N.NOM-PL
ötös	1	ötös	ötös	N.NOM.SG
albumban	1	album	album-ban	N.SG-IN+ESS
reggeli	11	reggeli	reggeli	N.NOM.SG
nyakú	2	nyakú	nyakú	ADJ.NOM.SG
bújjunk	10	bújik	búj-junk	V-SBJV.PRS.INDF.1.PL
nézel	8	néz	néz-el	V-IND.PRS.INDF.2.SG.Ol
megkérdezni	2	megkérdez	megkérdez-ni	V-NFIN
pisilni	73	pisil	pisil-ni	V-NFIN
szőre	3	szőr	szőr-e	N.NOM-PSS3S.SG
nyúljatok	1	nyúl	nyúl-jatok	V-SBJV.PRS.INDF.2.PL
kapuhoz	1	kapu	kapu-hoz	N.SG-AT+ALL
mondok	5	mond	mond-ok	V-IND.PRS.INDF.1.SG
elaludtam	5	elalszik	elalud-tam	V-IND.PST.INDF.1.SG
zsák	6	zsák	zsák	N.NOM.SG
macinak	15	maci	maci-nak	N.SG-DAT.SG
szúnyogok	1	szúnyog	szúnyog-ok	N.NOM-PL
tévé	16	tévé	tévé	N.NOM.SG
menekül	1	menekül	menekül	V.IND.PRS.INDF.3.SG
elmondanál	1	elmond	elmond-anál	V-COND.PRS.INDF.2.SG
benzinnel	1	benzin	benzin-vel	N.SG-INST
kapott	16	kap	kap-ott	V-IND.PST.INDF.3.SG
fáradok	1	fárad	fárad-ok	V-IND.PRS.INDF.1.SG
ügyesen	53	ügyes	ügyes-en	ADJ.SG-ON+ESS
tévén	1	tévé	tévé-n	N.SG-ON+ESS
képeslapok	1	képeslap	képeslap-ok	N.NOM-PL
megkérjük	2	megkér	megkér-jük	V-IND.PRS.DEF.1.PL
ülő	1	ülő	ülő	N.NOM.SG
rágógumi	1	rágógumi	rágógumi	N.NOM.SG
föl	264	föl	föl	N.NOM.SG
csokija	1	csoki	csoki-ja	N.NOM-PSS3S.SG
leszek	35	lesz	lesz-ek	V-IND.PRS.INDF.1.SG
m	336	m	m	N.NOM.SG
helikopter	13	helikopter	helikopter	N.NOM.SG
gránátalmát	1	gránátalma	gránátalma-t	N.SG-ACC
gyógyulás	3	gyógyul	gyógyul-ás	V-V.MSDR
helyünk	3	hely	hely-ünk	N.NOM-PSS1P.SG
bogárnak	3	bogár	bogár-nak	N.SG-DAT.SG
raktam	4	rak	rak-tam	V-IND.PST.INDF.1.SG
vas	1	vas	vas	N.NOM.SG
meggyógyítottad	1	meggyógyít	meggyógyít-ottad	V-IND.PST.DEF.2.SG
tevét	1	teve	teve-t	N.SG-ACC
anyukám	13	anyuka	anyuka-m	N.NOM-PSS1S.SG
nyomjuk	4	nyom	nyom-juk	V-IND.PRS.DEF.1.PL
távolsági	1	távolsági	távolsági	ADJ.NOM.SG
hülyéskedj	1	hülyéskedik	hülyésked-j	V-SBJV.PRS.INDF.2.SG
zsinórt	1	zsinór	zsinór-t	N.SG-ACC
szembe	3	szem	szem-be	N.SG-IN+ALL
fogója	1	fogó	fogó-ja	N.NOM-PSS3S.SG
harapjak	1	harap	harap-jak	V-SBJV.PRS.INDF.1.SG
vízbe	9	víz	víz-be	N.SG-IN+ALL
